fixed acidity,citric acid,sulphates,alcohol,quality
7.1,0.0,0.53,9.5,5
7.1,0.0,0.54,9.4,5
6.3,0.01,0.66,11.3,6
7.3,0.0,0.6,9.4,5
6.6,0.02,0.6,11.0,6
7.0,0.17,0.68,10.55,7
6.6,0.04,0.56,9.9,5
6.6,0.02,0.6,11.0,6
6.9,0.33,0.56,9.5,5
7.8,0.26,0.52,9.9,5
7.8,0.26,0.52,9.9,5
7.8,0.26,0.52,9.9,5
7.2,0.13,0.54,10.1,5
7.2,0.13,0.54,10.1,5
7.2,0.13,0.54,10.1,5
6.7,0.02,0.82,10.9,6
6.7,0.64,0.71,11.2,6
7.2,0.13,0.54,10.1,5
7.0,0.13,0.59,9.2,5
6.2,0.14,0.57,11.5,6
6.4,0.53,0.93,12.4,6
6.4,0.14,0.65,11.1,6
7.3,0.32,0.51,9.5,5
6.0,0.2,0.67,12.5,6
5.6,0.78,0.48,10.5,6
7.5,0.4,0.64,11.8,6
8.0,0.63,0.78,10.8,6
6.2,0.15,0.6,11.9,6
6.8,0.15,0.67,11.3,6
6.2,0.09,0.6,11.3,5
7.4,0.33,0.6,11.9,6
6.2,0.09,0.6,11.3,5
6.1,0.1,0.5,11.9,5
6.2,0.29,0.62,9.8,5
6.7,0.44,0.8,11.6,7
7.2,0.44,0.84,11.5,6
7.5,0.41,0.85,11.4,6
5.8,0.11,0.66,10.9,6
7.2,0.33,0.78,12.8,6
6.6,0.2,0.54,9.2,5
6.3,0.15,0.82,11.6,6
5.4,0.09,0.56,11.6,6
6.3,0.13,0.75,11.0,6
6.8,0.08,0.82,9.5,6
6.2,0.08,0.58,10.5,5
5.9,0.1,0.76,11.2,6
6.3,0.13,0.75,11.0,6
5.9,0.12,0.71,10.2,5
6.0,0.47,0.66,11.0,6
